PID	Status	Label
868	0	org.pqrs.service.agent.karabiner_console_user_server
869	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
872	0	com.logitech.LogiRightSight.Agent
9525	0	com.apple.EscrowSecurityAlert
8070	0	com.apple.MTLAssetUpgraderD
97330	0	com.apple.ptpcamerad
981	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.dt.previewsviewservice
-	0	com.apple.spotlightknowledged
39491	0	com.dotfiles.machine-state-backup
-	0	com.apple.securityuploadd
1240	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
978	0	com.apple.siriknowledged
-	0	com.apple.powerchime
767	0	com.apple.sharingd
1953	0	com.apple.seserviced
986	0	com.apple.siriappintentsd
883	0	com.apple.mobilerepaird
-	0	com.apple.iCloudUserNotificationsd
29074	0	com.apple.metrickitd
-	0	com.apple.storeassetd
837	0	com.apple.familycircled
29265	0	com.apple.filevaultd
935	0	application.com.kyome.RunCat.789844.789861
-	0	com.apple.FontRegistryUIAgent
29367	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
903	0	com.apple.TextInputSwitcher
758	0	com.apple.intelligentroutingd
45629	0	com.apple.AMPArtworkAgent
765	0	com.apple.imagent
1100	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
-	-9	com.apple.assistant_cdmd
702	0	com.apple.MenuBarAgent
29325	0	com.apple.hybridsearchd
802	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.dotfiles.machine-state-apply-next-day
29692	0	com.apple.imautomatichistorydeletionagent
703	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
15182	0	com.apple.shazameventsd
698	0	com.apple.talagent
747	0	com.apple.suggestd
-	0	com.apple.navd
34597	0	application.com.apple.iCal.1152921500311883184.1152921500311883247
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
11061	0	com.apple.iCloudNotificationAgent
892	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
29179	0	com.apple.Maps.mapssyncd
850	0	com.apple.swtransparencyd
951	0	com.apple.gputoolsserviced
760	0	com.apple.usernotificationsd
838	0	com.apple.FamilyControlsAgent
22411	-9	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
11068	0	com.apple.GenerativeFunctions.agentstored
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
678	0	com.apple.secd
720	0	com.apple.hiservices-xpcservice
52274	0	com.apple.mdworker.shared.0B000000-0100-0000-0000-000000000000
29817	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
896	0	com.apple.assistantd
1242	0	com.apple.siriinferenced
64043	0	com.apple.studentd
-	0	com.apple.FollowUpUI
925	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
791	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
1239	0	com.apple.financed
-	1	com.Box.Box-Edit.launch
827	0	com.apple.findmy.findmylocateagent
800	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
821	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
773	0	com.apple.scopedbookmarksagent.xpc
1041	0	com.apple.ensemble
764	0	com.apple.ReportCrash
-	0	com.apple.biomesyncd
-	78	com.openai.atlas.update-helper
29646	0	com.apple.ciphermld
873	0	com.openai.chat-helper
874	0	org.chromium.chromoting
1241	0	com.apple.UsageTrackingAgent
1009	0	com.apple.email.maild
810	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
