PID	Status	Label
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
785	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
1064	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
615	0	com.apple.containermanagerd
827	0	com.apple.imdpersistence.IMDPersistenceAgent
66057	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
2392	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
608	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
9436	0	com.apple.managedappdistributionagent
664	0	com.apple.accountsd
675	0	com.apple.cdpd
708	0	com.apple.routined
638	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
1977	0	application.com.wacom.wacomtablet.1165563.1165568
619	0	com.apple.BiomeAgent
712	0	ai.openclaw.gateway
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
874	0	com.apple.audio.AudioComponentRegistrar
815	0	application.com.cherpake.macrc.server.5848097.5848102
805	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
703	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
753	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
715	0	com.apple.notificationcenterui.agent
864	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
716	0	com.apple.imklaunchagent
657	0	com.apple.FileProvider
1142	0	com.apple.imcore.imtransferagent
719	0	com.apple.mobiletimerd
-	0	com.apple.btsa
818	0	application.mertbulan.TranslateBar.15170567.15170671
721	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
723	0	com.logitech.LogiRightSight.Agent
8931	0	com.apple.EscrowSecurityAlert
1005	0	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
844	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.spotlightknowledged
-	0	com.dotfiles.machine-state-backup
-	0	com.apple.securityuploadd
1768	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
1010	0	com.apple.siriknowledged
-	0	com.apple.powerchime
696	0	com.apple.sharingd
8974	0	com.apple.seserviced
732	0	com.apple.mobilerepaird
771	0	application.pro.betterdisplay.BetterDisplay.4478622.4478919
-	0	com.apple.iCloudUserNotificationsd
2726	0	com.apple.metrickitd
-	0	com.apple.storeassetd
694	0	com.apple.familycircled
5174	0	com.apple.filevaultd
-	0	com.apple.FontRegistryUIAgent
9705	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
775	0	com.apple.TextInputSwitcher
938	0	com.apple.intelligentroutingd
8887	0	com.apple.AMPArtworkAgent
735	0	com.apple.imagent
1048	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
816	0	com.apple.assistant_cdmd
1154	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.dotfiles.machine-state-apply-next-day
14724	0	com.apple.imautomatichistorydeletionagent
626	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
623	0	com.apple.talagent
643	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.jetbrains.toolbox
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
838	0	com.apple.iCloudNotificationAgent
744	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
1135	0	com.apple.Maps.mapssyncd
968	0	com.apple.swtransparencyd
795	0	com.apple.gputoolsserviced
667	0	com.apple.usernotificationsd
695	0	com.apple.FamilyControlsAgent
1917	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
2679	0	com.apple.CoreSimulator.SimulatorTrampoline
12476	0	com.apple.CoreDevice.CoreDeviceService
61845	0	com.apple.mdworker.shared.09000000-0400-0000-0000-000000000000
2653	0	com.apple.CoreSimulator.CoreSimulatorService
-	0	com.apple.mdworker.single.arm64
61711	0	com.apple.mdworker.shared.02000000-0200-0000-0000-000000000000
-	0	com.apple.ContainerMigrationService
629	0	com.apple.secd
652	0	com.apple.hiservices-xpcservice
8886	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
618	0	com.apple.assistantd
1283	0	com.apple.siriinferenced
1032	0	com.apple.studentd
-	0	com.apple.FollowUpUI
941	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
820	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
752	0	com.apple.financed
684	0	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
814	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
954	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
766	0	com.apple.scopedbookmarksagent.xpc
763	0	application.com.busymac.busycal3.1126707.1127419
965	0	com.apple.ensemble
835	0	com.apple.ReportCrash
-	0	com.apple.biomesyncd
-	0	com.openai.atlas.update-helper
2795	0	com.apple.ciphermld
1041	0	com.apple.UsageTrackingAgent
866	0	com.apple.email.maild
16748	0	application.com.renfei.SnippetsLab.15526425.15530826
673	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
3591	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
833	0	com.apple.intelligencecontextd
611	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
793	0	com.apple.mobiledeviceupdater
635	0	com.apple.AccessibilityUIServer
679	0	com.apple.communicationtrustd
-	0	com.apple.helpd
-	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.apple.GameOverlayUI
